altmetric_id,title,country,tiers
el_dinamo,"El Dínamo",CL,tier4
ig,"iG (Brazil)",BR,tier2
yahoo_news_brazil,"Yahoo! News Brazil",BR,tier2
aol,AOL,US,tier2
global_times_china,"Global Times (China)",CN,tier2
geelong_advertiser,"Geelong Advertiser",AU,tier2
newsweek,Newsweek,US,tier1
chicago_sun_times,"Chicago Sun-Times",US,tier1
frankfurter_rundschau,"Frankfurter Rundschau",DE,tier2
die_tageszeitung,"Die Tageszeitung ",DE,tier2
rheinische_post,"Rheinische Post",DE,tier2
handelsblatt,Handelsblatt,DE,tier2
wirtschaftswoche,Wirtschaftswoche,DE,tier3
die_presse,"Die Presse",AT,tier2
neue_zuricher_zeitung_nzz,"Neue Züricher Zeitung (NZZ)",CH,tier2
the_jakarta_globe,"The Jakarta Globe",ID,tier2
business_standard,"Business Standard",IN,tier3
moneycontrol_com,Moneycontrol.com,IN,tier3
articolotre,ArticoloTre,IT,tier4
urbanpost,UrbanPost,IT,tier2
environmental_news_network,"Environmental News Network",US,tier3
daily_news_analysis_dna,"Daily News & Analysis (dna)",IN,tier2
cancer_research_uk,"Cancer Research UK",GB,tier3
the_asco_post,"The ASCO Post",US,tier3
ubm_medica,"UBM Medica",US,tier3
health_imaging,"Health Imaging",US,tier3
technology_org,Technology.org,US,tier3
azfamily_com,azfamily.com,US,tier2
arizona_public_media,"Arizona Public Media",US,tier2
the_vancouver_sun,"The Vancouver Sun",CA,tier2
nosotros,Nosotros,MX,tier4
cbs_news,"CBS News",US,tier2
las_vegas_guardian_express,"Guardian Liberty Voice",US,tier2
audubon_magazine,"Audubon Magazine",US,tier3
astrobiology_magazine,"Astrobiology Magazine",US,tier3
the_nation_pakistan,"The Nation (Pakistan)",PK,tier2
the_asian_age,"The Asian Age",IN,tier2
authint_mail,"Authint Mail",IN,tier2
sg_hu,sg.hu,HU,tier3
24sata,24sata,HR,tier4
chemical_watch_news,"Chemical Watch News",GB,tier3
okezone_indonesia,"Okezone Indonesia",ID,tier2
blic_online,"Blic Online",RS,tier2
hannoversche_allgemeine,"Hannoversche Allgemeine",DE,tier2
gazeta_ru,Gazeta.ru,RU,tier2
svd,SvD,SE,tier2
voxy_co_nz,Voxy.co.nz,NZ,tier2
scoop,Scoop,NZ,tier4
parent_herald,"Parent Herald",US,tier3
north_queensland_register,"North Queensland Register",AU,tier4
the_free_press_journal,"The Freepress Journal",IN,tier2
canadian_business,"Canadian Business",CA,tier3
environmental_health_news,"Environmental Health News",US,tier3
today_singapore,"TODAY (Singapore)",SG,tier2
channel_newsasia,"Channel NewsAsia",SG,tier2
the_straits_times,"The Straits Times",SG,tier2
health,Health,US,tier3
cleveland_com,Cleveland.com,US,tier2
newsmax_health,"Newsmax Health",US,tier4
fox_8_cleveland,"Fox 8 Cleveland",US,tier2
health_on_india_com,"Health on India.com",IN,tier3
vogue,Vogue,US,tier1
mit_sloan_management_review,"MIT Sloan Management Review",US,tier3
experience_life,"Experience Life",US,tier3
smartplanet,SmartPlanet,US,tier3
wirtschafts_woche,"Wirtschafts Woche",DE,tier3
lifehacker,Lifehacker,US,tier3
laphams_quarterly,"Lapham's Quarterly",US,tier3
orion_magazine,"Orion Magazine",US,tier3
laboratory_news,"Laboratory News",GB,tier3
harlow_star,"Harlow Star",GB,tier2
the_canton_rep,"The CantonRep",US,tier2
san_jose_mercury,"San Jose Mercury",US,tier2
the_columbus_dispatch,"The Columbus Dispatch",US,tier2
reason,Reason,US,tier3
the_malay_mail_online,"The Malay Mail Online",MY,tier2
emirates_24_7,"Emirates 24/7",AE,tier2
las_vegas_review_journal,"Las Vegas Review-Journal",US,tier2
laser_focus_world,"Laser Focus World",US,tier3
kpbs,KPBS,US,tier2
the_german_cancer_research_center_deutsches_krebsforschungszentrum_dkfz,"Deutsches Krebsforschungszentrum",DE,tier3
pulse,Pulse,GB,tier3
womens_health,"Women's Health",US,tier3
smithsonian_magazine,"Smithsonian Magazine",US,tier3
alarabiya_net,AlArabiya.net,AE,tier2
wiener_zeitung,"Wiener Zeitung",AT,tier2
technobahn,Technobahn,US,tier3
alphagalileo,AlphaGalileo,GB,tier3
times_higher_education,"Times Higher Education",GB,tier3
nursing_times,"Nursing Times",GB,tier3
imaging_and_machine_vision_europe,"Imaging and Machine Vision Europe",GB,tier3
minnpost,MinnPost,US,tier2
daily_nation_kenya,"Daily Nation (Kenya)",KE,tier2
futura_sciences,Futura-Sciences,FR,tier3
mpr,MPR,US,tier3
le_point,"Le Point",FR,tier2
lexpress,L'Express,FR,tier2
basellandschaftliche_zeitung,"Basellandschaftliche Zeitung",CH,tier2
terra_spain,"Terra (Spain)",ES,tier2
rtbf,RTBF,BE,tier2
